instance, algorithm, value, runningTime, initialValue, steps, evaluatedSolutions
esc32f, steepest-3swap, 2, 1969, 50, 3, 31248 
esc32f, steepest-3swap, 2, 1957, 48, 3, 31248
esc32f, tabu-2swap, 2, 6705, 46, 300, 148800 
esc32f, tabu-2swap, 2, 6893, 80, 300, 148800 
esc32f, tabu-2swap, 2, 6844, 84, 300, 148800 
esc32f, tabu-2swap, 2, 6736, 52, 300, 148800 
esc32f, tabu-2swap, 2, 6843, 64, 300, 148800 
esc32f, tabu-2swap, 2, 6833, 52, 300, 148800 
esc32f, tabu-2swap, 2, 6929, 60, 300, 148800 
esc32f, tabu-2swap, 2, 6930, 38, 300, 148800 
esc32f, tabu-2swap, 2, 7057, 40, 300, 148800 
esc32f, tabu-2swap, 2, 7131, 44, 300, 148800 
esc32f, tabu-3swap, 2, 139472, 52, 300, 3124800 
esc32f, tabu-3swap, 2, 140057, 44, 300, 3124800 
esc32f, tabu-3swap, 2, 139740, 54, 300, 3124800 
esc32f, tabu-3swap, 2, 139759, 46, 300, 3124800 
esc32f, tabu-3swap, 2, 139639, 46, 300, 3124800 
esc32f, tabu-3swap, 2, 139186, 70, 300, 3124800 
esc32f, tabu-3swap, 2, 139872, 62, 300, 3124800 
esc32f, tabu-3swap, 2, 139262, 66, 300, 3124800 
esc32f, tabu-3swap, 2, 139888, 44, 300, 3124800 
esc32f, tabu-3swap, 2, 140503, 46, 300, 3124800 
tai40b, random, 862282606, 30089, -1, -1, -1 
tai40b, random, 854910757, 30000, -1, -1, -1 
tai40b, random, 881940258, 30000, -1, -1, -1 
tai40b, random, 874452082, 30000, -1, -1, -1 
tai40b, random, 878054480, 30000, -1, -1, -1 
tai40b, random, 898848606, 30000, -1, -1, -1 
tai40b, random, 880265289, 30000, -1, -1, -1 
tai40b, random, 888437440, 30000, -1, -1, -1 
tai40b, random, 847144440, 30000, -1, -1, -1 
tai40b, random, 871953373, 30000, -1, -1, -1 
tai40b, heuristic, 1161151190, 91, -1, -1, -1 
tai40b, heuristic, 1161151190, 29, -1, -1, -1 
tai40b, heuristic, 1161151190, 20, -1, -1, -1 
tai40b, heuristic, 1161151190, 8, -1, -1, -1 
tai40b, heuristic, 1161151190, 8, -1, -1, -1 
tai40b, heuristic, 1161151190, 7, -1, -1, -1 
tai40b, heuristic, 1161151190, 9, -1, -1, -1 
tai40b, heuristic, 1161151190, 4, -1, -1, -1 
tai40b, heuristic, 1161151190, 10, -1, -1, -1 
tai40b, heuristic, 1161151190, 4, -1, -1, -1 
tai40b, greedy-2swap, 672196749, 5013, 1147732155, 271, 46868 
tai40b, greedy-2swap, 674129807, 4657, 1090736106, 210, 48221 
tai40b, greedy-2swap, 729661550, 3901, 1234304230, 253, 39192 
tai40b, greedy-2swap, 711815969, 4197, 1061136646, 170, 44284 
tai40b, greedy-2swap, 711598195, 5550, 1206458458, 265, 58118 
tai40b, greedy-2swap, 638441388, 6696, 1233876116, 318, 70317 
tai40b, greedy-2swap, 683073133, 7156, 1165105287, 251, 67365 
tai40b, greedy-2swap, 665172613, 5941, 1099089053, 256, 63040 
tai40b, greedy-2swap, 656495684, 5911, 1083471818, 256, 62896 
tai40b, greedy-2swap, 720939775, 6533, 1134675583, 249, 63459 
tai40b, greedy-3swap, 673048768, 12291, 1042725784, 202, 107578 
tai40b, greedy-3swap, 752100677, 10840, 1141896886, 240, 94080 
tai40b, greedy-3swap, 667284831, 11989, 1205125429, 268, 105329 
tai40b, greedy-3swap, 672708881, 9785, 1189334465, 268, 82467 
tai40b, greedy-3swap, 678481167, 5985, 1054996711, 171, 43213 
tai40b, greedy-3swap, 639431096, 8978, 1261646162, 271, 73250 
tai40b, greedy-3swap, 670795353, 9374, 1043258859, 239, 77596 
tai40b, greedy-3swap, 699009840, 8148, 1236679418, 225, 55744 
tai40b, greedy-3swap, 665172276, 10367, 1225992054, 242, 83169 
tai40b, greedy-3swap, 721529518, 11298, 1085714419, 202, 96217 
tai40b, steepest-2swap, 717420305, 3334, 1153368071, 42, 32760 
tai40b, steepest-2swap, 783436826, 2169, 1026255797, 29, 22620 
tai40b, steepest-2swap, 697750552, 3668, 1136292370, 50, 39000 
tai40b, steepest-2swap, 735481948, 2737, 1138873564, 36, 28080 
tai40b, steepest-2swap, 788095365, 2875, 1161723936, 35, 27300 
tai40b, steepest-2swap, 723880181, 3020, 1062270340, 40, 31200 
tai40b, steepest-2swap, 726028598, 3353, 1057338859, 44, 34320 
tai40b, steepest-2swap, 696757252, 3124, 1207711184, 42, 32760 
tai40b, steepest-2swap, 726856790, 2785, 1117005930, 37, 28860 
